Iteration,Best Fitness,Elitism Rate,Mutation Rate,Population Size,Crossover Type,Mutation Type,Duration (ms)
30, 11905.00, 0.20, 0.80, 100, singlePointCrossover, swapMutation, 318
30, 12300.00, 0.20, 0.60, 100, twoPointCrossover, scrambleMutation, 503
30, 12210.00, 0.20, 0.40, 100, twoPointCrossover, inversionMutation, 732
30, 12130.00, 0.20, 0.60, 100, twoPointCrossover, flipMutation, 618
30, 12060.00, 0.20, 0.80, 100, twoPointCrossover, swapMutation, 264
30, 12220.00, 0.20, 0.60, 100, crossover, scrambleMutation, 708
30, 12270.00, 0.20, 0.60, 100, singlePointCrossover, scrambleMutation, 645
30, 12270.00, 0.20, 0.60, 100, crossover, inversionMutation, 730
30, 12210.00, 0.20, 0.60, 100, singlePointCrossover, inversionMutation, 690
30, 12200.00, 0.20, 0.60, 100, crossover, flipMutation, 815
30, 12240.00, 0.20, 0.60, 100, singlePointCrossover, flipMutation, 806
30, 12110.00, 0.20, 0.80, 100, crossover, flipMutation, 660
30, 12220.00, 0.20, 0.60, 100, twoPointCrossover, inversionMutation, 735
30, 12150.00, 0.25, 0.20, 100, twoPointCrossover, swapMutation, 244
30, 12360.00, 0.20, 0.80, 100, twoPointCrossover, scrambleMutation, 531
30, 12270.00, 0.20, 0.80, 100, crossover, scrambleMutation, 730
30, 12060.00, 0.25, 0.20, 100, crossover, swapMutation, 397
30, 12390.00, 0.20, 0.80, 100, crossover, inversionMutation, 747
30, 12390.00, 0.20, 0.80, 100, singlePointCrossover, scrambleMutation, 683
30, 12170.00, 0.25, 0.20, 100, singlePointCrossover, swapMutation, 356
30, 12100.00, 0.20, 0.80, 100, singlePointCrossover, flipMutation, 791
30, 12030.00, 0.25, 0.40, 100, crossover, swapMutation, 285
30, 12360.00, 0.20, 0.80, 100, singlePointCrossover, inversionMutation, 772
30, 12150.00, 0.20, 0.80, 100, twoPointCrossover, flipMutation, 778
30, 12080.00, 0.25, 0.20, 100, singlePointCrossover, scrambleMutation, 549
30, 12180.00, 0.25, 0.20, 100, crossover, inversionMutation, 658
30, 12180.00, 0.20, 0.80, 100, twoPointCrossover, inversionMutation, 732
30, 12120.00, 0.25, 0.40, 100, singlePointCrossover, swapMutation, 290
30, 12240.00, 0.25, 0.20, 100, crossover, scrambleMutation, 717
30, 12160.00, 0.25, 0.40, 100, twoPointCrossover, swapMutation, 286
30, 12170.00, 0.25, 0.20, 100, twoPointCrossover, flipMutation, 655
30, 12120.00, 0.25, 0.20, 100, crossover, flipMutation, 830
30, 12120.00, 0.25, 0.20, 100, twoPointCrossover, inversionMutation, 623
30, 12270.00, 0.25, 0.20, 100, twoPointCrossover, scrambleMutation, 674
30, 12200.00, 0.25, 0.20, 100, singlePointCrossover, inversionMutation, 719
30, 12160.00, 0.25, 0.20, 100, singlePointCrossover, flipMutation, 801
30, 12260.00, 0.25, 0.60, 100, crossover, swapMutation, 371
30, 12210.00, 0.25, 0.40, 100, crossover, scrambleMutation, 669
30, 12120.00, 0.25, 0.60, 100, singlePointCrossover, swapMutation, 331
30, 12290.00, 0.25, 0.40, 100, singlePointCrossover, flipMutation, 713
30, 12180.00, 0.25, 0.40, 100, twoPointCrossover, scrambleMutation, 631
30, 12060.00, 0.25, 0.60, 100, twoPointCrossover, swapMutation, 316
30, 12360.00, 0.25, 0.40, 100, crossover, inversionMutation, 789
30, 12310.00, 0.25, 0.40, 100, singlePointCrossover, inversionMutation, 749
30, 12000.00, 0.25, 0.40, 100, twoPointCrossover, flipMutation, 763
30, 12140.00, 0.25, 0.80, 100, crossover, swapMutation, 337
30, 12190.00, 0.25, 0.40, 100, singlePointCrossover, scrambleMutation, 847
30, 12160.00, 0.25, 0.40, 100, twoPointCrossover, inversionMutation, 765
30, 12230.00, 0.25, 0.40, 100, crossover, flipMutation, 1042
30, 12010.00, 0.25, 0.80, 100, singlePointCrossover, swapMutation, 290
30, 11900.00, 0.25, 0.80, 100, twoPointCrossover, swapMutation, 279
30, 12360.00, 0.25, 0.60, 100, singlePointCrossover, inversionMutation, 685
30, 12290.00, 0.25, 0.60, 100, crossover, inversionMutation, 771
30, 12180.00, 0.25, 0.60, 100, twoPointCrossover, inversionMutation, 658
30, 12155.00, 0.25, 0.60, 100, crossover, flipMutation, 949
30, 12220.00, 0.25, 0.60, 100, crossover, scrambleMutation, 869
30, 12220.00, 0.25, 0.60, 100, singlePointCrossover, flipMutation, 838
30, 12200.00, 0.30, 0.20, 100, crossover, swapMutation, 281
30, 12180.00, 0.25, 0.60, 100, twoPointCrossover, scrambleMutation, 777
30, 11900.00, 0.25, 0.60, 100, singlePointCrossover, scrambleMutation, 898
30, 12140.00, 0.25, 0.60, 100, twoPointCrossover, flipMutation, 887
30, 12060.00, 0.30, 0.20, 100, singlePointCrossover, swapMutation, 252
30, 12160.00, 0.30, 0.20, 100, twoPointCrossover, swapMutation, 218
30, 12290.00, 0.25, 0.80, 100, crossover, scrambleMutation, 825
30, 12080.00, 0.25, 0.80, 100, crossover, flipMutation, 894
30, 12300.00, 0.25, 0.80, 100, crossover, inversionMutation, 840
30, 11920.00, 0.25, 0.80, 100, singlePointCrossover, flipMutation, 872
30, 12230.00, 0.25, 0.80, 100, singlePointCrossover, scrambleMutation, 734
30, 12360.00, 0.25, 0.80, 100, singlePointCrossover, inversionMutation, 775
30, 12380.00, 0.25, 0.80, 100, twoPointCrossover, scrambleMutation, 733
30, 12095.00, 0.25, 0.80, 100, twoPointCrossover, flipMutation, 821
30, 12010.00, 0.30, 0.40, 100, crossover, swapMutation, 386
30, 11910.00, 0.30, 0.20, 100, singlePointCrossover, scrambleMutation, 625
30, 12060.00, 0.30, 0.40, 100, singlePointCrossover, swapMutation, 355
30, 12170.00, 0.30, 0.20, 100, singlePointCrossover, flipMutation, 772
30, 12200.00, 0.30, 0.40, 100, twoPointCrossover, swapMutation, 295
30, 12380.00, 0.25, 0.80, 100, twoPointCrossover, inversionMutation, 971
30, 12265.00, 0.30, 0.20, 100, crossover, flipMutation, 973
30, 12220.00, 0.30, 0.60, 100, crossover, swapMutation, 231
30, 12230.00, 0.30, 0.20, 100, crossover, scrambleMutation, 912
30, 12210.00, 0.30, 0.20, 100, crossover, inversionMutation, 946
30, 12240.00, 0.30, 0.20, 100, twoPointCrossover, flipMutation, 792
30, 12390.00, 0.30, 0.20, 100, twoPointCrossover, inversionMutation, 738
30, 12040.00, 0.30, 0.60, 100, singlePointCrossover, swapMutation, 232
30, 12200.00, 0.30, 0.20, 100, twoPointCrossover, scrambleMutation, 829
30, 12220.00, 0.30, 0.20, 100, singlePointCrossover, inversionMutation, 898
30, 12110.00, 0.30, 0.40, 100, crossover, flipMutation, 860
30, 12280.00, 0.30, 0.60, 100, twoPointCrossover, swapMutation, 337
