Iteration,Best Fitness,Elitism Rate,Mutation Rate,Population Size,Crossover Type,Mutation Type,Duration (ms),Opti Find At
100, 12370.00, 0.40, 0.20, 700, uniformCrossover, swapMutation, 4083, 0
100, 12330.00, 0.40, 0.10, 700, twoPointCrossover, swapMutation, 5853, 0
100, 12400.00, 0.30, 0.30, 700, uniformCrossover, scrambleMutation, 112364, 96
100, 12390.00, 0.30, 0.30, 700, uniformCrossover, inversionMutation, 111954, 0
100, 12400.00, 0.30, 0.30, 700, twoPointCrossover, inversionMutation, 105234, 84
100, 12400.00, 0.30, 0.30, 700, singlePointCrossover, inversionMutation, 110700, 31
100, 12400.00, 0.30, 0.30, 700, twoPointCrossover, scrambleMutation, 108165, 54
100, 12290.00, 0.40, 0.20, 700, singlePointCrossover, swapMutation, 5343, 0
100, 12400.00, 0.30, 0.40, 700, uniformCrossover, flipMutation, 107871, 56
100, 12400.00, 0.30, 0.30, 700, singlePointCrossover, flipMutation, 115181, 15
100, 12400.00, 0.30, 0.30, 700, singlePointCrossover, scrambleMutation, 114445, 92
100, 12350.00, 0.40, 0.20, 700, twoPointCrossover, swapMutation, 4889, 0
100, 12400.00, 0.30, 0.40, 700, uniformCrossover, scrambleMutation, 107835, 96
100, 12240.00, 0.40, 0.30, 700, uniformCrossover, swapMutation, 3660, 0
100, 12390.00, 0.30, 0.40, 700, uniformCrossover, inversionMutation, 106971, 0
100, 12400.00, 0.30, 0.30, 700, twoPointCrossover, flipMutation, 114622, 54
100, 12400.00, 0.40, 0.30, 700, singlePointCrossover, swapMutation, 6466, 30
100, 12400.00, 0.30, 0.40, 700, singlePointCrossover, flipMutation, 110916, 15
100, 12250.00, 0.40, 0.30, 700, twoPointCrossover, swapMutation, 5161, 0
100, 12400.00, 0.30, 0.40, 700, singlePointCrossover, inversionMutation, 114092, 71
100, 12330.00, 0.30, 0.40, 700, twoPointCrossover, flipMutation, 111047, 0
100, 12400.00, 0.30, 0.40, 700, singlePointCrossover, scrambleMutation, 119217, 92
100, 12390.00, 0.30, 0.40, 700, twoPointCrossover, scrambleMutation, 110319, 0
100, 12380.00, 0.40, 0.40, 700, uniformCrossover, swapMutation, 5942, 0
100, 12400.00, 0.30, 0.40, 700, twoPointCrossover, inversionMutation, 109903, 84
100, 12390.00, 0.30, 0.50, 700, uniformCrossover, flipMutation, 110536, 0
100, 12400.00, 0.30, 0.50, 700, uniformCrossover, scrambleMutation, 113664, 46
100, 12300.00, 0.40, 0.40, 700, singlePointCrossover, swapMutation, 5901, 0
100, 12400.00, 0.30, 0.50, 700, uniformCrossover, inversionMutation, 117196, 46
100, 12390.00, 0.30, 0.50, 700, singlePointCrossover, flipMutation, 113679, 0
100, 12350.00, 0.40, 0.40, 700, twoPointCrossover, swapMutation, 5665, 0
100, 12400.00, 0.30, 0.50, 700, singlePointCrossover, scrambleMutation, 115377, 86
100, 12400.00, 0.30, 0.50, 700, twoPointCrossover, flipMutation, 113732, 84
100, 12400.00, 0.30, 0.50, 700, twoPointCrossover, inversionMutation, 110969, 67
100, 12400.00, 0.30, 0.50, 700, singlePointCrossover, inversionMutation, 119987, 34
100, 12400.00, 0.40, 0.50, 700, uniformCrossover, swapMutation, 5617, 58
100, 12390.00, 0.30, 0.50, 700, twoPointCrossover, scrambleMutation, 120358, 0
100, 12390.00, 0.40, 0.10, 700, uniformCrossover, scrambleMutation, 152177, 0
100, 12400.00, 0.40, 0.10, 700, twoPointCrossover, inversionMutation, 146874, 51
100, 12400.00, 0.40, 0.10, 700, uniformCrossover, inversionMutation, 154582, 68
100, 12400.00, 0.40, 0.10, 700, uniformCrossover, flipMutation, 158514, 71
100, 12400.00, 0.40, 0.10, 700, twoPointCrossover, scrambleMutation, 148524, 34
100, 12370.00, 0.40, 0.50, 700, singlePointCrossover, swapMutation, 5033, 0
100, 12400.00, 0.40, 0.10, 700, singlePointCrossover, flipMutation, 154203, 77
100, 12400.00, 0.40, 0.10, 700, singlePointCrossover, scrambleMutation, 153404, 47
100, 12400.00, 0.40, 0.10, 700, twoPointCrossover, flipMutation, 153537, 71
100, 12400.00, 0.40, 0.10, 700, singlePointCrossover, inversionMutation, 155546, 60
100, 12310.00, 0.40, 0.50, 700, twoPointCrossover, swapMutation, 7307, 0
100, 12360.00, 0.50, 0.10, 700, uniformCrossover, swapMutation, 4958, 0
